name,value,pretty_value,boot_val,unit
allow_in_place_tablespaces,off,"",off,
allow_system_table_mods,off,"",off,
application_name,psql,"","",
archive_cleanup_command,"","","",
archive_command,(disabled),"","",
archive_mode,off,"",off,
archive_timeout,0,"",0,s
array_nulls,on,"",on,
authentication_timeout,60,"",60,s
autovacuum,on,"",on,
autovacuum_analyze_scale_factor,0.1,"",0.1,
autovacuum_analyze_threshold,50,"",50,
autovacuum_freeze_max_age,200000000,"",200000000,
autovacuum_max_workers,3,"",3,
autovacuum_multixact_freeze_max_age,400000000,"",400000000,
autovacuum_naptime,60,"",60,s
autovacuum_vacuum_cost_delay,2,"",2,ms
autovacuum_vacuum_cost_limit,-1,"",-1,
autovacuum_vacuum_scale_factor,0.2,"",0.2,
autovacuum_vacuum_threshold,50,"",50,
autovacuum_work_mem,-1,"",-1,kB
backend_flush_after,0,0 bytes,0,8kB
backslash_quote,safe_encoding,"",safe_encoding,
bgwriter_delay,200,"",200,ms
bgwriter_flush_after,64,512 kB,64,8kB
bgwriter_lru_maxpages,100,"",100,
bgwriter_lru_multiplier,2,"",2,
block_size,8192,"",8192,
bonjour,off,"",off,
bonjour_name,"","","",
bytea_output,hex,"",hex,
check_function_bodies,on,"",on,
checkpoint_completion_target,0.5,"",0.5,
checkpoint_flush_after,32,256 kB,32,8kB
checkpoint_timeout,300,"",300,s
checkpoint_warning,30,"",30,s
client_encoding,SQL_ASCII,"",SQL_ASCII,
client_min_messages,notice,"",notice,
cluster_name,"","","",
commit_delay,0,"",0,
commit_siblings,5,"",5,
config_file,/var/lib/postgresql/data/postgresql.conf,"",,
constraint_exclusion,partition,"",partition,
cpu_index_tuple_cost,0.005,"",0.005,
cpu_operator_cost,0.0025,"",0.0025,
cpu_tuple_cost,0.01,"",0.01,
cursor_tuple_fraction,0.1,"",0.1,
data_checksums,off,"",off,
data_directory,/var/lib/postgresql/data,"",,
data_directory_mode,0700,"",448,
data_sync_retry,off,"",off,
DateStyle,"ISO, MDY","","ISO, MDY",
db_user_namespace,off,"",off,
deadlock_timeout,1000,"",1000,ms
debug_assertions,off,"",off,
debug_pretty_print,on,"",on,
debug_print_parse,off,"",off,
debug_print_plan,off,"",off,
debug_print_rewritten,off,"",off,
default_statistics_target,100,"",100,
default_table_access_method,heap,"",heap,
default_tablespace,"","","",
default_text_search_config,pg_catalog.english,"",pg_catalog.simple,
default_transaction_deferrable,off,"",off,
default_transaction_isolation,read committed,"",read committed,
default_transaction_read_only,off,"",off,
dynamic_library_path,$libdir,"",$libdir,
dynamic_shared_memory_type,posix,"",posix,
effective_cache_size,524288,4096 MB,524288,8kB
effective_io_concurrency,1,"",1,
enable_bitmapscan,on,"",on,
enable_gathermerge,on,"",on,
enable_hashagg,on,"",on,
enable_hashjoin,on,"",on,
enable_indexonlyscan,on,"",on,
enable_indexscan,on,"",on,
enable_material,on,"",on,
enable_mergejoin,on,"",on,
enable_nestloop,on,"",on,
enable_parallel_append,on,"",on,
enable_parallel_hash,on,"",on,
enable_partition_pruning,on,"",on,
enable_partitionwise_aggregate,off,"",off,
enable_partitionwise_join,off,"",off,
enable_seqscan,on,"",on,
enable_sort,on,"",on,
enable_tidscan,on,"",on,
escape_string_warning,on,"",on,
event_source,PostgreSQL,"",PostgreSQL,
exit_on_error,off,"",off,
extension_destdir,"","","",
external_pid_file,"","",,
extra_float_digits,1,"",1,
force_parallel_mode,off,"",off,
from_collapse_limit,8,"",8,
fsync,on,"",on,
full_page_writes,on,"",on,
geqo,on,"",on,
geqo_effort,5,"",5,
geqo_generations,0,"",0,
geqo_pool_size,0,"",0,
geqo_seed,0,"",0,
geqo_selection_bias,2,"",2,
geqo_threshold,12,"",12,
gin_fuzzy_search_limit,0,"",0,
gin_pending_list_limit,4096,4096 kB,4096,kB
hba_file,/var/lib/postgresql/data/pg_hba.conf,"",,
hot_standby,on,"",on,
hot_standby_feedback,off,"",off,
huge_pages,try,"",try,
ident_file,/var/lib/postgresql/data/pg_ident.conf,"",,
idle_in_transaction_session_timeout,0,"",0,ms
ignore_checksum_failure,off,"",off,
ignore_system_indexes,off,"",off,
integer_datetimes,on,"",on,
IntervalStyle,postgres,"",postgres,
jit,on,"",on,
jit_above_cost,100000,"",100000,
jit_debugging_support,off,"",off,
jit_dump_bitcode,off,"",off,
jit_expressions,on,"",on,
jit_inline_above_cost,500000,"",500000,
jit_optimize_above_cost,500000,"",500000,
jit_profiling_support,off,"",off,
jit_provider,llvmjit,"",llvmjit,
jit_tuple_deforming,on,"",on,
join_collapse_limit,8,"",8,
krb_caseins_users,off,"",off,
krb_server_keyfile,FILE:/etc/postgresql-common/krb5.keytab,"",FILE:/etc/postgresql-common/krb5.keytab,
lc_collate,en_US.utf8,"",C,
lc_ctype,en_US.utf8,"",C,
lc_messages,en_US.utf8,"","",
lc_monetary,en_US.utf8,"",C,
lc_numeric,en_US.utf8,"",C,
lc_time,en_US.utf8,"",C,
listen_addresses,*,"",localhost,
local_preload_libraries,"","","",
lock_timeout,0,"",0,ms
lo_compat_privileges,off,"",off,
log_autovacuum_min_duration,-1,"",-1,ms
log_checkpoints,off,"",off,
log_connections,off,"",off,
log_destination,stderr,"",stderr,
log_directory,log,"",log,
log_disconnections,off,"",off,
log_duration,off,"",off,
log_error_verbosity,default,"",default,
log_executor_stats,off,"",off,
log_file_mode,0600,"",384,
log_filename,postgresql-%Y-%m-%d_%H%M%S.log,"",postgresql-%Y-%m-%d_%H%M%S.log,
logging_collector,off,"",off,
log_hostname,off,"",off,
log_line_prefix,%m [%p] ,"",%m [%p] ,
log_lock_waits,off,"",off,
log_min_duration_statement,-1,"",-1,ms
